锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F48560S,瑞浦,51.2,560.0,835x980x530,,N/A,N/A,280,16S2P,48,859,型号：F48560S叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：835 x 980 x 530mm) 带配重，配重方式：铁板；配重重量：859KG； 放电插头为：Rema 160母头。,835.0,980.0,530.0,1135,1
F24460M,瑞浦,25.6,460.0,800x330x635,300.0,N/A,Yale MPE060-G,230,8S2P,24,449,"型号：F24460M叉车项目： 电芯：瑞浦230 组合方式：8S2P 电压：25.6V 容量：460Ah 电量：11.776KWh（800x330x635mm），配重449KG，总重量300KG，带加热功能,BMS-自研。（叉车型号：MPE060-G）",800.0,330.0,635.0,326,1
F24150W,瑞浦,25.6,150.0,624x212x627,65.0,N/A,Hyster P1.6,150,8S1P,24,0,"型号：F24150W叉车项目; 电芯：瑞浦150Ah ，组合方式：8S1P, 电压：25.6V ,容量：150Ah ,电量：3.84KWh，箱体尺寸：624x212x627mm，总重量65kg，带加热，带4G模块，放电线接口为Rema 160母头，线长1.3m；显示屏线长1.3M ,自研BMS。充电器为伊雷德24V 50A车载充电器（叉车型号：Hyster P1.6）",624.0,212.0,627.0,66,1
F48420AB,EVE,51.2,420.0,970x525x740,,N/A,N/A,105,16S4P,48,590,型号：F48420AB叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：970*525*740mm）带配重，配重方式：铁板；配重重量：590KG；自研BMS。,970.0,525.0,740.0,754,0
F24304H,EVE,25.6,304.0,790x210x795,303.0,N/A,N/A,304,8S1P,24,197,型号：F24304H叉车项目： 电芯：EVELF304 组合方式：8S1P 电压：25.6V 容量：304Ah 电量：7.78KWh（790*210*795mm）带配重，铁块重量197kg，总重量：303kg，带加热，带4G模块，自研BMS。,790.0,210.0,795.0,235,0
F80840R,瑞浦,80.0,840.0,1009.6x984.25x749.3,2132.0,N/A,Linde E50HL,280,25S3P,80,1371,"型号：F80840R叉车项目，电芯：瑞浦280Ah ，组合方式：25S3P ；电压：80V； 容量：840Ah； 电量：67.2KWh（箱体最大尺寸： 1009.6*984.25*749.3mm）带配重，铁块重量1371kg，总重量：2132KG，带4G模块，带加热功能，电池配置湿胶灭火器，做双插头，充电电流400A, 与Ecotec 适配:  DUAL PLUG Ecotec Charger (CA80-1000-34SFC)，自研BMS。（叉车型号：LINDE  E50HL）",1009.6,984.25,749.3,1517,1
F48460P,EVE,51.2,460.0,1217x427x784,,N/A,N/A,230,16S2P,48,630,型号：F48460P叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：1217*427*784mm）带配重，配重方式：铁板；配重重量：630KG；放电插头型号：REMA 320A plug，BMS-自研。,1217.0,427.0,784.0,987,0
F80420PA,EVE,83.2,420.0,1025x708x784,1470.0,N/A,N/A,105,26S4P,80,1035,型号：F80420PA叉车项目： 电芯：EVE105Ah ，组合方式：26S4P 电压：83.2V 容量：420Ah 电量：34.9KWh（箱体尺寸：1025*708*784mm）带配重，铁块重量1035kg，总重量1470KG，带加热功能，带4G模块功能，BMS-自研。,1025.0,708.0,784.0,1377,0
F24230B,EVE,25.6,230.0,651x245x460,,N/A,N/A,230,8S1P,24,136,型号：F24230B叉车项目： 电芯：EVE230Ah ，组合方式：8S1P 电压：25.6V 容量：230Ah 电量：5.888KWh（箱体尺寸：651*245*460mm）带配重，铁块重量：136KG，自研BMS。,651.0,245.0,460.0,173,0
F48560CS,瑞浦,51.2,560.0,1220x420x770,1190.0,N/A,Nobelift RT20DP,280,16S2P,48,850,型号：F48560CS叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1220*420*770mm) 配重850KG，总重量1190KG，BMS-自研。（叉车型号：Nobellift  RT20DP）,1220.0,420.0,770.0,1072,1
F48420AQ,EVE,51.2,420.0,950x350x570,,N/A,N/A,105,16S4P,48,0,型号：F48420AQ叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（950×350×570mm）不带配重，自研BMS，带4G模块，带加热功能 。,950.0,350.0,570.0,774,0
F24100G-C,EVE,25.6,100.0,635x180x538,,N/A,N/A,100,8S1P,24,-,型号：F24100G-C叉车项目： 电芯：EVELF105 组合方式：8S1P 电压：25.6V 容量：100Ah 电量：2.56KWh（635*180*538mm）带加热功能，带4G功能，自研BMS。（该型号在F24100G-B最新版的基础上，将继电器方案改成自研的MOS BMS 方案，其它参数不变）,635.0,180.0,538.0,14,0
F36608F,EVE,38.4,608.0,983x632.5x640.6,,N/A,N/A,304,12S2P,36,714,型号：F36608F叉车项目： 电芯：EVE304Ah ，组合方式：12S2P 电压：38.4V 容量：608Ah 电量：23.347KWh（箱体尺寸：983*632.5*640.6mm）（带配重，铁块重量714kg）BMS-自研，带4G模块功能,983.0,632.5,640.6,458,0
F80460AH,瑞浦,80.0,460.0,820x625x580,400.0,N/A,Toyota 8FBN30,230,25S2P,80,-,型号：F80460AH叉车项目： 电芯：瑞浦230Ah ，组合方式：25S2P ，电压：80V， 容量：460Ah， 电量：36.8KWh（箱体尺寸：820*625*580mm），总重量：400KG，带加热功能，带4G模块，放电插头·REMA SB320 母插，自研BMS。（叉车型号：Toyota 8FBN30）,820.0,625.0,580.0,1394,1
F24230S,瑞浦,25.6,230.0,620x210x568,195.0,N/A,Crown WP3000,230,8S1P,24,120,型号：F24230S叉车项目： 电芯：瑞浦230Ah ，组合方式：8S1P 电压：25.6V 容量：230Ah 电量：5.888KWh（箱体尺寸：620*210*568mm）无配重120KG；总重量：195KG，带优克联4G模块，带加热功能，自研BMS。（叉车型号：Crown WP 3000）,620.0,210.0,568.0,182,1
F24160I,EVE,25.6,160.0,635x200x540,65.0,N/A,N/A,160,8S1P,24,0,型号：F24160I叉车项目： 电芯：EVELF160 组合方式：8S1P 电压：25.6V 容量：160Ah 电量：4.096KWh（尺寸： 635*200*540mm）不带配重，总重量：65kg，带加热功能，带4G模块，自研BMS,635.0,200.0,540.0,77,0
F24150R,瑞浦,25.6,150.0,585x210x643,204.0,N/A,Stocklin high-lift truck EDI12,150,8S1P,24,141,型号：F24150R叉车项目： 电芯：瑞浦150Ah ，组合方式：8S1P 电压：25.6V 容量：150Ah 电量：3.84KWh（箱体尺寸：585x210x643mm，配重141KG，总重量204kg，带加热，带4G模块，自研BMS。（叉车型号：Stoklin high-lift truck EDI12）,585.0,210.0,643.0,63,1
F36690AF,EVE,38.4,690.0,970x520x590,861.8,N/A,N/A,230,12S3P,36,527,"型号：F36690AF叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：970*520*590mm）,（带配重，铁块重量：527kg,总重量：861.8kg）带4G模块，带加热功能，自研BMS.",970.0,520.0,590.0,486,0
F48314V,瑞浦,51.2,314.0,940x360x570,480.0,N/A,Toyota 8FBR15,314,16S1P,48,270,"型号：F48314V叉车项目： 电芯：瑞浦314； 组合方式：16S1P， 电压：51.2V ，容量：314Ah， 电量：16.076KWh,箱体尺寸：940*360*570mm,配重270KG，总重量480KG；带加热功能,带4G，放电插头: SB175 GrayBMS-自研。电池用于冷库（叉车型号：TOYOTA 8FBR15）",940.0,360.0,570.0,701,1
F48315W,EVE,51.2,315.0,983x552x650,820.0,N/A,N/A,105,16S3P,48,570,型号：F48315W叉车项目： 电芯：EVELF105 组合方式：16S3P 电压：51.2V 容量：315Ah 电量：16.128KWh（箱体尺寸：983*552*650mm），带配重，铁块重量：570kg，总重量：820KG，带4G模块，不带加热功能，BMS-自研。,983.0,552.0,650.0,732,0
F36608P,EVE,38.4,608.0,970x628x571,998.0,N/A,N/A,304,12S2P,36,720,型号：F36608P叉车项目： 电芯：EVE304Ah ，组合方式：12S2P 电压：38.4V 容量：608Ah 电量：23.347KWh（箱体尺寸：970*628*571mm）总重量：998kg，带配重720kg）带4G模块功能，带加热功能，BMS-自研。（UL认证）,970.0,628.0,571.0,466,0
F24210H,EVE,25.6,210.0,624x212x627,212.0,N/A,N/A,105,8S2P,24,-,型号：F24210H叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（624mmx212mmx627mm）带配重，总重量：212KG，MOS方案，CLY-BMS。,624.0,212.0,627.0,137,0
F24100V,瑞浦,25.6,100.0,635x146x571,136.0,N/A,Hyster B60ZHD,100,8S1P,24,80,型号：F24100V叉车项目； 电芯：瑞浦100Ah ；组合方式：8S1P； 电压：25.6V； 容量：100Ah ；电量：2.56KWh（635*146*571mm）配重80KG，总重量：136KG，带加热功能，带4G功能，放电插头：SB175 red，自研BMS。（叉车型号：Hyster B60ZHD）,635.0,146.0,571.0,29,1
F36690DA,瑞浦,38.4,690.0,970x628x571,954.0,N/A,Yale ERP040VT,230,12S3P,36,674,"型号：F36690DA叉车项目： 电芯：瑞浦230Ah ，组合方式：12S3P， 电压：38.4V ，容量：690Ah， 电量：26.496KWh，箱体尺寸：970*628*571mm，配重：674KG，总重量：954KG；加顶盖, 配4G模块和加热功能，放电插头：Anderson SB350 Gray，充电头：Anderson Euro 320A-Female A系列 (与Power Designers充电机通讯适配),自研BMS。（叉车型号：Yale ERP040VT）",970.0,628.0,571.0,553,1
F36560E-A,瑞浦,38.4,560.0,975x406x787,850.0,N/A,N/A,280,12S2P,36,611,型号：F36560E-A叉车项目： 电芯：瑞普280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：975*406*787mm）配重611KG，总重量：850KG，带4G模块，带加热功能，BMS-自研。（美国USPM原F36560E旧设计升级）,975.0,406.0,787.0,432,1
F48460C-A,EVE,51.2,460.0,808x540x462,,N/A,N/A,230,16S2P,48,-,型号：F48460C-A叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：808*540*462mmmm），在F48460C项目基础上修改充电插头为200A。,808.0,540.0,462.0,908,0
F48560C,EVE,51.2,560.0,1005x764x596,,N/A,N/A,280,16S2P,48,-,型号：F48560C叉车项目： 电芯：EVELF280 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1005x764x596mm）,1005.0,764.0,596.0,1054,0
F48420H-A,EVE,51.2,420.0,620x960x630,,N/A,N/A,105,16S4P,48,750,型号：F48420H-A叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：620x960x630mm），BMS-自研，（带配重，铁块750kg）。,620.0,960.0,630.0,828,0
F48420Z,EVE,51.2,420.0,1000x510x720,,N/A,N/A,105,16S4P,48,530,型号：F48420Z叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：1000*510*720mm）带配重，配重方式：铁板；配重重量：530KG；自研BMS。,1000.0,510.0,720.0,854,0
F24560V,瑞浦,25.6,560.0,970x304x775,681.0,N/A,Yale NR040DC,280,8S2P,24,-,"型号：F24560V叉车项目： 电芯：瑞浦280Ah ，组合方式：8S2P，电压：25.6V ，容量：560Ah， 电量：14.336KWh（箱体最大尺寸：970*304*775mm）总重量681kg，带加热功能，带4G模块，放电插头：SB350 Red,充电插头：Anderson Euro A320 Female A-series A 系列,自研BMS。（叉车型号：YALE NR040DC）",970.0,304.0,775.0,357,1
F48628C,瑞浦,51.2,628.0,1110x730x555,1100.0,N/A,Bendi B320,314,16S2P,48,771,"型号：F48628C叉车项目： 电芯：瑞浦314Ah；组合方式：16S2P ；电压：51.2V； 容量：628Ah ；电量：32.154KWh。（箱体尺寸：1110x730x555mm)配重771KG，总重量1100KG，带加热功能，带4G模块，放电接头为Anderson SB350BLUE，放电线长为1500mm,SOC显示屏线长4M。，自研BMS。(叉车型号：Bendi B320)",1110.0,730.0,555.0,1181,1
F48420BW,EVE,51.2,420.0,1124x370x535,550.0,N/A,N/A,105,16S4P,48,250,型号：F48420BW叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：1124x370x535mm）带配重，铁块重量250KG，总重量：550KG，带加热功能，带4G模块，BMS-自研。,1124.0,370.0,535.0,801,0
F36420D,EVE,38.4,420.0,930x380x760,357.0,N/A,N/A,105,12S4P,36,-,型号：F36420D叉车项目： 电芯：EVE105Ah ，组合方式：12S4P 电压：38.4V 容量：420Ah 电量：16.128KWh（箱体最大尺寸：930*380*760mm）带配重，总重量357KG，带4G模块，带加热功能。,930.0,380.0,760.0,384,0
F72420B,EVE,73.6,420.0,-,,N/A,N/A,105,23S4P,72,-,型号：F72420B叉车项目： 电芯：EVELF105，组合方式：23S4P 电压：73.6V 容量：420Ah 电量：30.912KWh（带配重）。,,,,1313,0
F72460F,EVE,76.8,460.0,950x860x420,900.0,N/A,Komatsu FE30,230,24S2P,72,560,型号：F72460F叉车项目；电芯：亿纬LF230，组合方式：24S2P， 电压：76.8V， 容量：460Ah， 电量：35.328KWh（尺寸：950*860*420mm，）配重560KG；总重量：900kg，不带加热功能，带4G和灭火装置，放电插头线5M，屏幕线5M，BMS-自研。（叉车型号：Komatsu FE30 ）,950.0,860.0,420.0,1320,0
F36690Y,EVE,38.4,690.0,973x462x808,1115.0,N/A,N/A,230,12S3P,36,837,"型号：F36690Y叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：973*462*808mm）,（带配重，铁块重量：837kg,总重量：1115kg）带4G模块，带加热功能，自研BMS",973.0,462.0,808.0,577,0
F36690AA,EVE,38.4,690.0,1005x765x520,1405.0,N/A,N/A,230,12S3P,36,1115,"型号：F36690AA叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：1005*765*520mm）,（带配重，铁块重量：1115kg,总重量：1405kg）带4G模块，带加热功能，自研BMS.",1005.0,765.0,520.0,482,0
F48460DP,瑞浦,51.2,460.0,813x711x578,998.0,N/A,Jungheinrich EFG220,230,16S2P,48,458,型号：F48460DP叉车项目；电芯：瑞浦LF230Ah，组合方式：16S2P， 电压：51.2V， 容量：460Ah， 电量：23.552KWh（尺寸：813*711*578mm，）配重458KG；总重量：998kg，带加热，带4G，放电插头：REMA 320A FEMALE（母头）；充电插头：Anderson Euro A320 Female A-series A系列；BMS-自研。（叉车型号：Jungheinrich EFG 220）,813.0,711.0,578.0,945,1
F48560EE,瑞浦,51.2,560.0,1218x427x779,1131.0,N/A,N/A,280,16S2P,48,790,型号：F48560EE叉车项目： 电芯：瑞浦LF280Ah， 组合方式：16S2P ，电压：51.2V， 容量：560Ah ，电量：28.672KWh，箱体尺寸：1218×427×779mm，配重790KG，总重量：1131KG，无需充电加热，带4G，显示屏线长5M，BMS-自研。（叉车型号：ESR）,1218.0,427.0,779.0,1106,1
F48840G,瑞浦,51.2,840.0,970x831x571.5,1428.8,N/A,N/A,280,16S3P,48,912,"型号：F48840G叉车项目： 电芯：瑞浦280Ah 组合方式：16S3P 电压：51.2V 容量：840Ah 电量：43.008KWh。（带配重，箱体尺寸：970*831*571.5mm）带配重，铁块912kg,总重量1428.8kg，带加热功能，带4G模块，BMS-自研。",970.0,831.0,571.5,1287,1
F48690BD-A,瑞浦,51.2,690.0,970x832x571.5,1451.0,N/A,N/A,230,16S3P,48,1072,型号：F48690BD-A叉车项目： 电芯：瑞浦LF230Ah ，组合方式：16S3P， 电压：51.2V， 容量：690Ah ，电量：35.328KWh（箱体尺寸：970*832*571.5mm）带配重，铁块重量：1072kg，总重量：1451KG，带加热功能，带4G模块，BMS-自研。（在已UL认证F48690BD的基础上，去掉表头，增加CAN通讯线；CAN通讯，协议使用欧洲克拉克通讯协议）,970.0,832.0,571.5,1214,1
F24200D,瑞浦,25.6,200.0,614x274x610,288.0,N/A,Hyster P2.0S,100,8S2P,24,227,型号：F24200D叉车项目： 电芯：瑞浦100 组合方式：8S2P 电压：25.6V 容量：200Ah 电量：5.12KWh（614*274*610mm）配重：227KG，总重量：288KG，带加热，带4G，BMS-自研。（叉车型号：Hyster P2.0S ）,614.0,274.0,610.0,88,1
F48420K,EVE,51.2,420.0,973x465x695,,N/A,N/A,105,16S4P,48,1165,型号：F48420K叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：973*465*695mm）带配重，预计1165KG配重。,973.0,465.0,695.0,833,0
F80460X,瑞浦,80.0,460.0,980x695x300,320.0,N/A,N/A,230,25S2P,80,0,型号：F80460X叉车项目： 电芯：瑞浦230Ah ，组合方式：25S2P 电压：80V 容量：460Ah 电量：36.8KWh（箱体尺寸：980x695x300mm）不带配重，总重量320KG，不带加热功能，不带4G模块，BMS-自研。（箱体焊接按IP67要求，内部加干燥剂，葛兰头内部打胶密封）,980.0,695.0,300.0,1423,1
F48608AE,EVE,51.2,608.0,830x630x627,865.0,N/A,Linde E16,304,16S2P,48,505,型号： F48608AE叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.1296KWh（箱体尺寸：830×630×627mm），配重505kg，总重量：865KG，带加热功能，带4G模块，BMS-自研。（叉车型号：Linde E16）,830.0,630.0,627.0,1153,0
F48690AC,EVE,51.2,690.0,1223x499x784,1350.0,N/A,N/A,230,16S3P,48,975,型号：F48690AC叉车项目： 电芯：EVE230Ah ，组合方式：16S3P，电压：51.2V；容量：690Ah，电量：35.328KWh（箱体尺寸：1223*499*784mm）带配重，总重量：1350kg，铁块重量：975KG，带加热功能，带4G模块，BMS-自研。,1223.0,499.0,784.0,1189,0
F48690CB,瑞浦,51.2,690.0,1109x520x749,1406.0,N/A,N/A,230,16S3P,48,-,型号：F48690CB叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：1109*520*749mm）总重量：1406kg，带加热功能，带4G模块，BMS-自研；带上盖；双枪充电；充电头：Euro 320A Female （与Ecotech适配通讯）；放电插头：SB350 Blue；叉车型号：HYSTER V30ZMU,1109.0,520.0,749.0,1238,1
F24130D,瑞浦,25.6,130.0,660x146x650,146.0,N/A,Crown W-3280-2.0,65,8S2P,24,88,"型号：F24130D叉车项目; 电芯：瑞浦65Ah ，组合方式：8S2P, 电压：25.6V ,容量：130Ah ,电量：3.32KWh，箱体尺寸：660*146*650mm，配重：88KG，总重量:146kg，带加热，带4G，放电头Anderson SBE 160A 红（E6379G2）,自研BMS。（叉车型号：Crown WP-3280-2.0 ）",660.0,146.0,650.0,45,1
F24210APR-C,EVE,25.6,210.0,624x212x627,180.0,N/A,N/A,105,8S2P,24,0,型号：F24210APR-C叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（624*212*627mm）不带配重，总重量：180KG，带加热功能，带4G模块，BMS-自研。,624.0,212.0,627.0,115,0
F48690U,EVE,51.2,690.0,880x760x470,360.0,N/A,N/A,230,16S3P,48,0,型号：F48690U叉车项目： 电芯：EVE230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：880*760*470mm）不带配重，重量：360kg，带加热功能，带4G模块，BMS-自研，显示屏：韩文。,880.0,760.0,470.0,1273,0
F36690BS,瑞浦,38.4,690.0,970x628x571,1043.0,N/A,Hyster J40XN,230,12S3P,36,755,型号：F36690BS叉车项目： 电芯：瑞浦230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：970*628*571mm）配重755KG，总重1043KG，带加热功能，带4G模块，BMS-自研。（叉车型号：Hyster J40XN）,970.0,628.0,571.0,521,1
F48690BH,EVE,51.2,690.0,975x540x650,813.0,N/A,N/A,230,15S3P,48,460,型号：F48690BH冷库叉车项目： 电芯：EVE230Ah ，组合方式：15S3P 电压：48V 容量：690Ah 电量：32.12KWh（箱体尺寸：975*540*650mm）带配重:460KG，总重量：813kg，带加热功能，带4G模块，BMS-自研。（冷库项目）,975.0,540.0,650.0,1219,0
F36690CX,瑞浦,38.4,690.0,965x444x774,1068.0,N/A,Toyota SR1-BET40,230,12S3P,36,760,"型号：F36690CX叉车项目； 电芯：瑞浦LF230Ah，组合方式：12S3P，电压：38.4V， 容量：690Ah ，电量：26.496KWh，箱体尺寸：965*444*774mm， 配重760KG,总重量：1068KG，带4G模块，带加热，放电插头: SB350 Gray，自研BMS。（叉车型号：Toyota SR1-BET40 ）",965.0,444.0,774.0,549,1
F24210Z-A,EVE,25.6,210.0,727x280x674,285.0,N/A,Mitsubishi SBV16N3I,105,8S2P,24,188,"型号：F24210Z-A叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（727*280*674mm）带配重，配重总量188kg，总重量285kg。带加热，带优克联4G模块,自研BMS。（叉车型号:Mitsubishi SBV16N3I；在F24210Z电池的基础上，将F24210Z的屏幕线长改为1M， 放电线长改为0.2M；）",727.0,280.0,674.0,156,0
F24210AW,EVE,25.6,210.0,624x212x627,212.0,N/A,N/A,105,8S2P,24,140,型号：F24210AW叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（624*212*627mm）配重：140KG，总重量：212KG，带加热，带4G，BMS-自研。,624.0,212.0,627.0,122,0
F80420PB,EVE,83.2,420.0,1025x852x784,1780.0,N/A,N/A,105,26S4P,80,1480,型号：F80420PB叉车项目： 电芯：EVE105Ah ，组合方式：26S4P 电压：83.2V 容量：420Ah 电量：34.9KWh（箱体尺寸：1025*852*784mm）带配，铁块重量1480kg，总重量1780g，带加热功能，带4G模块功能，BMS-自研。,1025.0,852.0,784.0,1378,0
F48460DN,瑞浦,51.2,460.0,970x520x572,960.0,N/A,Hyster J30XN,230,16S2P,48,758,型号：F48460DN叉车项目；电芯：瑞浦LF230Ah，组合方式：16S2P， 电压：51.2V， 容量：460Ah， 电量：23.552KWh（尺寸：970*520*572mm，）配重758KG；总重量：960kg，带加热，带4G，充电插头:  REMA 320A Male（公头），放电插头： Rema 320 Amp（母头）；BMS-自研。（叉车型号：HYSTER J30XN）,970.0,520.0,572.0,944,1
F48608J,EVE,51.2,608.0,970x831.5x571.5,1542.21,N/A,N/A,304,16S2P,48,1037,型号：F48608J叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.1296KWh。（箱体尺寸：970×831.5×571.5mm）带配重，铁块重量：1037kg，总重量：1542.21kg，带4G模块功能，带加热功能，BMS-自研。（充电头300A适配Ecotec充电器/Euro 320A Female充电头）,970.0,831.5,571.5,1164,0
F48460FA,瑞浦,51.2,460.0,828x622x597,975.0,N/A,Hyster J35UTT,230,16S2P,48,685,型号：F48460FA叉车项目： 电芯：瑞浦230Ah ，组合方式：16S2P， 电压：51.2V ，容量：460Ah， 电量：23.552KWh，箱体尺寸：828*622*597mm，配重685KG，总重量975KG，需要4G 模块和加热功能，充电插头：Anderson Euro A320 Female A-series A 系列，自研BMS（叉车型号：Hyster J35UTT）,828.0,622.0,597.0,971,1
F90690B,瑞浦,89.6,690.0,1026x852x627,1458.0,N/A,N/A,230,28S3P,90,913,型号：F90690B叉车项目： 电芯：瑞浦230 组合方式：28S3P 电压：89.6V 容量：690Ah 电量：61.824KWh（电池尺寸：1026*852*627mm）配重913KG；总重量：1458kg，带4G模块，带加热，BMS-自研。,1026.0,852.0,627.0,1542,1
